ISO3	src	update	xls_saved	lat	lng	Country	Confinement__Confinement-measures	Social-Measures__Reducing-workers-exposure-to-Covid-19-in-the-workplace	Social-Measures__Income-support-to-sick-workers-and-their-families	Social-Measures__Income-support-to-quarantined-workers-who-cannot-work-from-home	Social-Measures__Helping-dealing-with-unforeseen-care-needs	Social-Measures__Income-support-to-persons-losing-their-jobs-or-self-employment-income	Social-Measures__Helping-firms-to-adjust-working-time-and-preserve-jobs	Social-Measures__Financial-support-to-firms-affected-by-a-drop-in-demand	Social-Measures__Changes-to-dismissal-regulation	Social-Measures__Helping-economically-insecure-workers-stay-in-their-homes	More__Government-links-for-more-details
POL		April 10, 2020		52.442	19.72	Poland	Shut down of schools and universities, cultural and sports events and some private-sector. On 31 March, the authorities closed hotels, temporary accommodation services, hairdressers, public parks and churches. Compulsory face covering in public from 16 April.	Teleworking encouraged when possible	Payouts to parents who have to stay at home with children. If both parents of the child work, one parent may apply for additional childcare allowance. They can also share childcare within the 14-day limit. Additional care allowance is granted to parents for a total of 14 days, regardless of the number of children needing care. Carer's allowance and additional care allowance are granted from the Social Insurance Fund. This means that benefits are not charged to the employers' fund. Even if the employer pays the benefit (if required to do so), the amounts paid are settled by ZUS. 	Sick leave is granted for the periods of quarantine if indivdually ordered by the authorities. Benefits for child care are granted in the case of children being under quarantine. These do not apply to people self-guarantining. Allowance of 50% of the minimum wage to farmers and their household members in case they are subject to quarantine or hospitalisation		One-off (extended in April to up to three monthly) cash payment(s) up to PLN2080 (80% of minimum wage) for the self-employed and workers employed under civil law contracts. If economic activity is stopped due to coronavirus a self-employed receives sick-leave benefit. Self-employed persons and micro-firms which experience at least 50-percent drop in revenues since February will also be eligible for exemption from payment of social security contributions for three months. This initial measure has been extended for two possible additional months. Self-employed (up to 80% of the minimum wage) and employees under civil law contracts are eligible.	Short-term work schemes (for employees) will cover 40% of pay (up to the level of the national average wage in 2019) for workers of firms experiencing a monthly fall in their revenues of at least 25%. Employers will cover an additional 40%, while the worker will have to bear the remaining loss. In addition, one-off monthly benefit will be paid by the Social Insurance Institution (ZUS) to self-employed (up to 80% of the minimum wage) and employees under civil law contracts, for a gross amount of about PLN 2,000 (EUR 465). The expected costs of these measures are around 1.3% of 2019 GDP.  State-support for the protection of jobs extended to NGOs, non-profit and public benefit organisations. On 8 April, the government launched a PLN 100 billion (around EUR 22 billion or 4.5% of GDP) financial lifeline to companies, to reduce incentives to lay-off workers in the current downturn. The scheme will consist of 3-year zero-interest loans to struggling SMEs (50% of the envelope), micro-enterprises (25%) and large companies (25%). About 60% of total loans could be disbursed in the form of grants (up to 75% for SMEs and micro-enterprises), provided recipients will keep their employees during the loan period.	Financing and guarantee measures for firms (for around 3% of 2019 GDP): loan guarantees; operational leasing schemes (for firms in the transport sector); and PLN 5,000 (about EUR 1,200) micro loans for firms with less than 9 employees, non-refundable in case they do not dismiss employees within 6 months.  Exemption from social security contributions for three months to self-employed and firms below 50. This will be limited to 50% of all contributions for these firms			https://www.gov.pl/web/koronawirus
PRT		March 20, 2020		40.957	-7.799	Portugal	Schools are closed, non-essential shops and public spaces are closed. Public containment measures have been implemented.		Parents, employed as dependent employees, who need to stay home to take care of their kids (up to 12 years old) after school closures, and who cannot telework, have their leave from work “justified”, i.e. they cannot be laid-off for unjustified leave. In addition, in order to help their employers cope with their leave, they will only receive 2/3 of their salary during that period. These 2/3 of salary will be paid half-half by the employer and the Social Security.	Workers who present a medical certificate justifying their 14 days quarantine are fully taken in charge by social security as if on a sick leave, i.e. companies are not paying the salary, the social security is. Social security pays starting from Day 1 of the quarantine, unlike for the sick leave where there is a waiting period of 3 to 10 days usually.	Parents who are self-employed or independent workers and can no longer work to take care of their kids (up to 12 again) because of school closure, receive 1/3 of their average wage paid by Social Security.	€438 for 6 months to self-employed workers.   Minimum support: Dependent employees cannot receive less than the statutory minimum wage with this measure (635€ - the RMMG). If so, SS tops-up. Independent/self-employed workers cannot receive less than 438.81€ (a value known as IAS, used to calculate basic income social protection:	“Temporary lay-off scheme” for firms with activity severely affected by the pandemic: - Without training involved: Workers will receive 2/3 of their gross income, up to 1905€ per month. Firms pay 30% of that sum, social security pays the remaining 70%. This can last up to 6 months maximum. - With training: If firms wish so, instead of temporarily sending workers home and paying the 30% mentioned above, they can take advantage of the current period of reduced activity to reskill or upskill their employees. In this case, the IEFP (the national public institute for professional qualification) will pay 50% of the gross income of their employees up to the RMMG (the national Minimum Guaranteed Monthly Income, which is 635€ per month from the 1st Jan 2020 - see link above). The firm will still have to pay the remaining 50%. This is a more advantageous training support scheme than usually. 	On a case-by-case basis, deferral of social security contributions and taxes, guaranteed treasury loans of 200 million Euros for SMEs. On March 18th, the government announced a 9.2 billion-euro package out of which 5.2 billion are fiscal measures such as flexible payment schedules for tax payment, 3 billion are state-backed credit guarantees and 1 billion related to social security payments stimulus to support workers and provide liquidity for companies affected by the coronavirus outbreak. While no information so far is provided on the impact of the stimulus on the draft budget, it is estimated that the total package represents 17.3% of quarterly GDP. 		Households may temporarily postpone mortgage payments to 30 September 2020 without consequences.  The city of Lisbon has temporarily suspended social housing payments until 30 June 2020, after which households will have 18 months to pay back the rent without penalites.	https://www.portugal.gov.pt/pt/gc22/comunicacao/documento?i=recomendacoes-da-dgs-sobre-coronaviruscovid-19-recommendations-on-coronaviruscovid-19
SVK		April 7, 2020		48.757	18.957	Slovak Republic	Schools are closed, non-essential shops and public spaces are closed. As of 30/03, the government extended the list of shops under 1000 sq meters that were allowed to open (the list includes e.g. opticians, smaller horticulture, haberdashery, bicycle shops, hardware stores, retailers of building materials, garages).  People older than 65 years have time to visit stores from 9am to 12pm. Face masks are compulsory in public places since March 25th.  Starting April 8th (and provisionally until April 13th i.e. during Easter holidays), citizens' movements are to be limited, justifications will need to be provided for exceptional cases.	The government proposed an amendment to the labour code facilitating teleworking (under review in the Parliament).	The first day of sick leave which is usually unpaid will be covered by the State in the period between 11 March and 31 May. Days 2-14 usually paid by employers will by paid by the State as well.	As of 30/03: Employees in quarantine and parents who are at home with their kids will get 55 percent of their gross salary from the state.	As of 30/03: Employees in quarantine and parents who are at home with their kids will get 55 percent of their gross salary from the state.	As of 16/03: The government has  postponed the deadline for tax returns by three months for  individuals.  Temporary abolition of social insurance and health insurance contributions for self-employed entrepreneurs over three months (March, April and May). These contributions will be split over the following 18 months.  The government proposed extending the coverage of UI by one month (under review in Parliament).	As of 29/03: The state pays 80 percent of the employee's salary to companies whose operations had to stop because of the virus, under a maximum of EUR 1 100 per employee per month. Firms have to retain their employees for 6 months to be eligible. 	The government has  postponed the deadline for tax returns by three months for companies.  As of 30/03 Contributions for the self-employed and employees in companies that have recorded a drop in revenues will depend on how much they were affected. By a drop of more than 20 percent –   EUR 180.00; by a drop of more than 40 percent – EUR 300.00; by a drop of more than 60 percent – EUR 420.00; by a drop of more than 80 percent – EUR 540.00. The maximum amount of support is EUR 200,000 per company.   Deferment of the payment of social and health contributions paid by employer for those whose revenues drop by more than 40 percent.	The government proposed an amendment in the labour code to supplement the employee's protection against termination of employment in case of personal obstacle e.g. having to care for a sick family member or a child. This should also apply to employees who are subject to quarantine or isolation (under review in Parliament).	Postponement of mortgage payments	
SVN		March 19, 2020		46.037	14.534	Slovenia	All education institutions are closed. All public indoor events with more than 500 visitors have been banned. On 18/3/2020 all public gatherings were limited to 5 people.				Parents who will stay home to care for their children in the coming days will be entitled to 50% wage compensation.			Stimulus package includes short- and long-term measures such as tax deferrals, state guarantees and credit lines. On 18/3/2020, the tax burden on business was eased with a 12 month deferral of credit payments.			
ESP		April 16, 2020		40.617	-3.388	Spain	Strict confinement, schools and university are closed, travel restrictions, bann on large gatherings, lock down in effect. On March the 29th the confinement’s scope was enlarged including now all non-essential economic activities. 	Companies should encourage the implementation of teleworking whenever the activity of the company allows it. To this end, ongoing public programmes have been expedited to support the digitisation of small and medium-sized enterprises. For those sectors still working, the health and safety responsible authorities (Instituto Nacional de Seguridad y Salud en el Trabajo) has published updated guidelines on specifics orientations and the use of individual protection equipment.	Periods of isolation or contagion of workers as a consequence of the COVID-19 virus will be considered as a situation assimilated to a work accident. This enables workers and self-employed subject to isolation measures to perceive the economic benefit of temporary disability of the Social Security system during the period of isolation, which is 75% of their social security regulatory base (compared to 60% for workers on sick leave with a common illness) and to do so from the first day of leave. 	Temporary absences from work due to periods of isolation or contagion of the workers will be assimilated to work accidents. This enables workers and self-employed to perceive the economic benefit of temporary disability of the Social Security system during the period of illness or isolation: 75% of the social security regulatory base (compared to 60% for workers on sick leave with a common illness). This measure has been extended to workers framed in Special Regimes of the Public Sector. Following the suspension of all non-essential economic activities adopted on March 29, a paid leave was granted between 30 March and 9 April for workers of non-essential activities that cannot be carried out by teleworking. The non-worked days will be compensated with extra working time before 31 December under the terms agreed in collective agreements.	Teleworking and flexible work hours to adjust for child care needs. Support to families in vulnerable positions: 600 million euros for funding social services programs: home care services and distance caregiving for dependents, both elderly, and people with disability; support and care services for homeless people; funds for minimum income schemes; caregiver assistance for families (especially, for single-parent families); social workers hiring; means for health prevention; and other relevant social services.  25 million euros to provide food to children affected by school closures to combat child poverty.  Workers affected by school closures and/or that need to provide care for dependents are entitled to adapt their working hours as needed. These includes stopping working if necessary.  Health activities and care institutions for elderly and dependent care have been declared an essential service. Therefore, these institutions must maintain their activity during the health crisis, whether they are public or private. Health and care centres and  institutions are not allowed to apply suspensions or reduction hours.	Automatic prorogation of unemployment benefits during the health crisis. Suspension of rules concerning minimum contribution periods for unemployment benefits during the crisis, including for temporary workers. Six month moratorium on taxes for self-employed.  Extraordinary allowance for self-employed workers, affected by the suspension of economic activity. New extraordinary economic benefit financed by the Social Security System to compensate self-employed workers. Own-account self-employed who have a turnover fall of at least 75% of that of the previous semester can access the same subsidy for end of activity as those closing their business, even if they complete the minimum contribution period. A three-month credit moratorium on the payment of credits and non-mortgage loans by vulnerable groups. A temporary extraordinary unemployment benefit has been established for domestic employees in the event of lack of activity, reduction of hors worked or termination of the contract. The amount of the subsidy will be 70% of the Social Security "regulatory base" with a max. of 950 euros.  An exceptional subsidy is introduced for workers with a temporary contract of at least two months, when their work contract expires and they do not have the minimum period required to access ordinary unemployment benefits. This allowance, of 430 euros, will last for one month and can be extended.                                                                      Contracts for temporary teaching staff at university that are due to end during the State of Alarm are extended, as well as research contracts financed by grants of the National System of Science, Technology and Innovation. These extensions will be equivalent to the duration of the State of Alarm and, exceptionally may be can be extended up to 3 months after the end of the State of Alarm. During the State of Alarm and until June 30th, it is possible to combine unemployment benefits with temporary employment in agriculture. This measure applies to unemployed people, workers under a temporary suspension of contract, migrant workers whose work permit ends between June 15th and June 30th of 2020, and young people (between 18 and 21 years old) non-Spanish citizens legal residents in Spain.     	Relaxing the rules for ERTEs (a STW) allowing for temporary suspension or reduction of hours (duration of procedures reduced from 15 to 7 days). It implies an exemption for companies' social security contributions. Extension of social security bonuses in discontinuous fixed contracts to cover contracts from February to June 2020 in the tourism sector, in order to preserve employment. The process to apply for the temporary employment adjustments is simplified for firms and workers and the unemployment benefits are paid from the date of suspension; all temporary employment adjustments process related to the Covid-19 crisis are covered under this provision, even if they were initiated before the approval of the measure.   	Six month moratorium on taxes for SMEs. Companies that have received loans from the General Secretariat for Industry and Small and Medium Enterprises are allowed to postpone their repayment.  The government announced the mobilisation of 200 billion euros (20% of GDP), of which 117 billion will be public (100 billion for guarantees and 17 billion to help those affected by the crisis) and the rest will be based on private sources. Moreover a 2 billion euros specific line of guarantees will be allocated for export companies. A specific financing line is available through the Official Credit Institute for the amount of 400 million euros to meet the liquidity needs of companies and self-employed workers in the tourism sector, as well as related activities that are being affected by the current situation. Extension of the moratorium on mortgage payments (announced on March 17 for vulnerable groups) to offices/commercial premises of the self-employed impacted by the crisis, and from 1 month to 3 months. Suspension of interest and loan payments for entrepreneurs in the tourism industry for one year. Affected SMEs will be granted deferrals of their tax debts with the Administration during a six month period, without interest. This will allow 14 billion euros of liquidity to be injected into the economic system. Additionally, the Government has deferred the tax-payment for SMES and self-employed with a maximum of 600,000 euros turnover, from April 20th until May 20th. 	Economic dismissals related to Covid-19 are not allowed. Companies have to use ERTEs (see column I). Moreover, if a company reduces activity for reasons related to the Covid crisis, the maximum duration of the affected fixed-term contracts can be prolonged for the same number of months of the crisis.	Suspension of evictions for 6 months, automatic 6 month extension of current rental contracts that are about to expire, automatic moratorium on rent payments for vulnerable groups whose landlord is “large” (10 or more properties) and the possibility of deferral of rent in the case of small landlords. In the case of no agreement in the latter case, access of tenants to a microcredit scheme at 0% interest to pay rent (repayment period of up to 10 years). Moratorium on mortgage payments for workers who have been severely affected by Covid-19. Utility companies not permitted to cut services to vulnerable families. Extension of the guarantee of the supply of water, gas and energy (announced on March 17 for vulnerable groups) to all households and extension of the social benefit for energy provision to those affected by ERTEs and self-employed who have ceased activity or whose income has fallen by more than 75%.	https://www.mscbs.gob.es/en/profesionales/saludPublica/ccayes/alertasActual/nCov-China/home.htm; http://prensa.mitramiss.gob.es/WebPrensa/noticias/laboral/detalle/3748
SWE		April 14, 2020		65.903	18.572	Sweden	Secondary schools and universities closed		Central government assumes the entire cost of all sick pay during April and May. 			Temporary reinforcement of unemployment insurance: the funds for the Employment Service to manage newly registered unemployed and notice have been increased as well as those for the unemployment insurance funds to manage notices; the membership terms for joining an unemployment insurance fund have been shortened from 12 to 3 months; the ceiling in the unemployment insurance fund is raised temporarily from SEK 910 to SEK 1 200 per day for the first 100 compensation days; the ceiling for basic insurance is temporarily raised from SEK 365 to SEK 510 per day; the waiting period of 6 days before receiving unemployment benefits has been abolished. The period during which a person may have a subsidised job (extra job, new start job or introductory job) will be extended by an additional year for those who already have such jobs; the maximum time for support for starting a business will be extended from six to twelve months; municipalities will receive grants for more summer jobs for young people and funding for green jobs. More opportunities will be opened for vocational education and training throughout the country. Self-employed persons will be entitled to receive standardised sick pay for 14 days. Self-employed will received a reduction of individual contributions as that proposed for firms (see right). Self-employed will also be able to defer their VAT payments that otherwise should be paid during the spring, such as on 12 May.   	Employers’ wage costs can be halved and the central government will cover a larger share of the costs. This model is similar to short-time work, but the subsidy level is significantly increased. Morevoer, from 1 May 2020 and for three months, employers will be able to reduce their employees’ working hours by up to 80% (instead of 60%) and the government will bear most of the cost. The wage costs will be reduced by over 70% (previously 50%), while workers will retain almost 90% of their original wage. Combined with the reduced employers’ social security contributions, employer costs can be reduced by up to 86% per cent during May and June. Control mechanisms will be enhanced. Wage negotiations have been postponed to the Autumn.	A central government loan guarantee has been proposed to make it easier for companies to access financing. The proposal means that the central government will guarantee 70 per cent of new loans banks provide to companies that are experiencing financial difficulty due to the COVID-19 virus but that are otherwise robust. The Swedish Export Credit Agency's loan limit is extended to SEK 200bn (about EUR 18bn, 3.8% of GDP) from SEK 125bn. The ceiling for credit guarantees from the agency which insures export companies and banks against the risk of non-payment in export transactions (EKN) is increased to SEK 500bn (about EUR 45bn, 9.6% of GDP) from SEK 450bn, the same amount as during the 2008 financial crisis.  A temporary reduction of employers’ social security contributions will be proposed for the period 1 March to 30 June 2020 so that only the old age pension contribution is paid (up to 30 employees and on that portion of the employee’s wage that does not exceed SEK 25 000 per month). Support to facilitate and speed up renegotiation of rents.			https://www.government.se/government-policy/the-governments-work-in-response-to-the-virus-responsible-for-covid-19/ https://www.fi.se/en/published/press-releases/2020/loss-of-income-due-to-corona-virus-disease-a-cause-for-exemption-from-amortisation/
CHE		April 2, 2020		47.012	8.351	Switzerland	Gatherings in public spaces of more than five people are prohibited until 19/4/2020. If five or fewer people meet, they must maintain a distance of two metres from one another. All establishments open to the public will be closed, except establishments such as food stores and other shops selling articles for everyday use (e.g. kiosks and petrol station shops), takeaway establishments, staff canteens, meal delivery services, pharmacies or banks. Classroom teaching is banned until 19 April 2020. Entry restrictions for all persons (except from Liechtenstein). Exceptions are possible, for example for people who live or work in Switzerland. Anyone wishing to enter Switzerland despite the entry ban must prove that one of the exceptional conditions is met. This arrangement will apply for a maximum of 6 months.	Hygiene regulations for companies, recommendations for home office. Employers in construction and industry are obliged to comply with the recommendations of the Federal Office of Public Health regarding hygiene and social distance. For this purpose, the number of persons present on construction sites or in companies must be limited accordingly. People at high risk should work from home. If that is not possible, they are to be placed on leave by their employers, but will continue to be paid by their employer.			Parents with children under 12 years of age who have to interrupt their employment because third-party care for the children is no longer guaranteed are entitled to compensation. This applies both to employees and self-employed workers.	Unemployed persons are covered by compulsory unemployment insurance. The submission of proof of work efforts is waived. All persons entitled to benefits receive a maximum of 120 additional daily allowances.   Self-employed persons are not entitled to short-time work compensation. However, if they suffer a loss of income due to the closure of a business or the ban on events ordered under federal law, they are entitled to compensation amounting to 80 percent of their income and a maximum of 196 Swiss francs per day. Further measures for persons in the cultural sector (hardship payments).	The administrative procedures to apply for short-time work (part-time unemployment benefit) have been eased at short notice: i) the waiting period to benefit from this indemnity is eliminated until September 30, 2020 (against 2 days previously, the first days being borne by the company); ii) Employees no longer have to reduce their overtime before they can benefit from short-time compensation. iii)The approval period for short-time work is extended from 3 to 6 months. This will allow the number of applications to be minimised and thus speed up the approval procedure. In addition, urgent simplifications have been made in the area of processing applications and payments for short-time work with the adoption of new provisions. Short-time work compensation can now also be paid to employees on fixed-term contracts and to persons working for a temporary work organisation. Furthermore, short-time work compensation is accessible for employer-like employees (for example, shareholders of a limited liability company who work as salaried employees in the company), persons who work in the business of the spouse or registered partner as well as apprenticees, too.	CHF20 billion for a liquidity aid. Affected companies can apply to their banks for bridging credit facilities representing a maximum of 10% of their annual turnover and no more than CHF 20 million. Credits of up to CHF 500,000 will be fully secured by the Confederation, and will be paid out quickly and with the minimum of bureaucracy. Zero interest will be charged. Bridging credits that exceed CHF 500,000 will be secured by the Confederation to 85% of their value; the lending bank will secure the remaining 15%. Each company can obtain a credit of this type for up to CHF 20 million, which means a more rigorous bank review will be required. The interest rate on these credits is currently 0.5% on the loan secured by the Confederation. Further liquidity measures: Businesses should have the possibility to extend payment deadlines without having to pay default interest. For this reason, the interest rate for VAT, customs duties, special excise taxes and incentive taxes will be reduced to 0.0 percent in the period from 21 March 2020 to 31 December 2020. No interest will be charged during this period. Social insurance contributions: Companies affected by the crisis may be granted a temporary, interest-free deferral of payment of social security contributions. Companies also have the option of having the amount of the regular contributions adjusted if the sum of their wages has fallen significantly. The same applies to self-employed persons whose turnover has collapsed.   			https://www.bag.admin.ch/bag/en/home/krankheiten/ausbrueche-epidemien-pandemien/aktuelle-ausbrueche-epidemien/novel-cov/haeufig-gestellte-fragen.html
TUR		April 6, 2020		39.144	34.188	Turkey	Social distancing measures encouraged. Curfew for citizens above 65. Intercity travel is prohibited, subject only to individual permits by state governors. International flights have been completely stopped. Schools are closed until the end of April, students started to receive online education through the internet and TV. Universities shifted to full on-line education via their distance education centers and Higher Education Council's courses platform. Mass prayers in mosques are suspended. All kinds of scientific, cultural, and artistic and similar meetings or activities were postponed until the end of April. Activities open to the public are closed. Public transportation vehicles are required to accept 50 percent of their capacity to allow social distancing. Preventive and protective measures are taken in nursing homes for seniors, women's shelters and nursing homes for children under state's protection. Until 1 July 2020, banks or other financial institutions will not be able to force sales of homes whose owners cannot meet their mortgage payments.	All civil servants above 60, except special cases, will stay home until further notice. All leaves are suspended in public health services.  A circular was issued that allows civil servants for flexible and tele-working. (Flexible working and tele-working options are possible and encouraged in private sector as well).  44.986 OSH (occupational health and safety) professionals started to provide trainings for workplaces on hygiene measures and protection from coronavirus.	A complementary budget of 2 billion Turkish lira (308 million US$) is earmarked for families in need.  7 billion Turkish liras ($1.08 billion) is earmarked in support for workers with minimum wage.			A complementary budget of 2 billion Turkish lira (308 million US$) is earmarked for families in need.	The conditions of use of the Short-Time Working Allowance are eased: - The requirement of 600 days of contribution is reduced to 450 days - The requirement of service contract for the last 120 days is reduced to 60 days. - The application procedure has been simplified through decreasing the number of the application documents. - The criterion of “not laying off workers” has been brought for employers who want to benefit from the Programme.  Compensatory working time has been increased from 2 months to 4 months in order to ensure continuity in employment.	• April, May and June VAT and social security contributions will be postponed for six months in selected sectors. These include retail trade, iron-steel, automotive, logistics-transportation, cinema-theatre, housing, food-beverage, textile-garment and event-organisation services. • The accommodation tax in hotels and tourism facilities will be waived until November. • The VAT rate for domestic flights will be lowered from 18 percent to 1 percent for 3 months. • Exporters will be given stock financing assistance to maintain capacity during the slowdown. • Public SME bank Halkbank will postpone interest and debt payments for a minimum period of 3 months. Bankers’ Association invited all members to consider the special circumstances for loan re-scheduling. • The Credit Guarantee Fund increased its limits for SME loans from 3.8 to 7.7 billion US$. • New working capital loans will be made available to all firms, conditional on their preserving their current employment level, within a 25.000 Turkish Lira limit, 36 months maturity, 6 months grace period and subsidised 7.5% interest rate; • A "craft-and-trade credit card" will be made available to all craftsmen and small traders under a 25.000 Turkish Lira limit;                                                               • Firms established in technoparks will be exempt of rents for two months;  			https://tccb.gov.tr/en/ https://www.iletisim.gov.tr/english
GBR		March 31, 2020		52.289	-1.259	United Kingdom	Strict confinement and only essential services.	Encourage employees to work from home if possible	 Statutory sick pay (from employers) from day 1, not day 4. Statutory sick pay for all those advised to self isolate, regardless of whether sick.‒ statutory sick pay for self-quarantined people. ESA (the sick pay benefit for those who don’t get sick pay from employer) from day 1, not day 8	The government introduced statutory sick pay for self-quarantined people.	Schools will shut but some premises will remain open, with a skeleton staff, to look after children of essential service workers.	The Universal Credit standard allowance will increase by £1,000, for the next 12 months, as will the Working Tax Credit basic element. Self-employed people with an average trading profit of under £50,000 will be able to access cash grants of 80% of profits (up to a limit of £2,500 per month) for at least 3 months. This is equivalent to the Coronavirus Job Retention Scheme for furloughed employees. The new system is likely to be in place in June. Until then, self-employed people have access, in full, to the Universal Credit at a rate equivalent to Statutory Sick Pay for employees. 	The Government has introduced a short-time work scheme. Companies and organisations will be able to apply for a grant from HMRC to cover the wages of people who are not working due to coronavirus shutdowns, but who haven’t been laid off. The Government will cover 80% of the salaries of retained workers, up to £2,500 per month.	Vat payments have been deferred. GBP 30 billion stimulus package, including 12 bn to counter the impacts of the outbreak. For businesses <200 employees, sick pay to be paid by govt for first 14 days. Moreover: • Big loan scheme for employers • Abolish local taxes on small retail/hospitality etc businesses for a year • For the very smallest businesses, unconditional cash grant of GBP3k 		Temporary suspension of mortgage payments  Suspension of new evictions from social or private rented accommodation. The government is working with local councils to ensure that rough sleepers are provided with shelter, and secure access to food and medical services for people who have been rehoused.	https://www.gov.uk/government/topical-events/coronavirus-covid-19-uk-government-response https://www.gov.uk/government/news/payment-holidays-offered-to-help-to-buy-homeowners-affected-by-covid-19
USA		April 10, 2020		40.731	-99.225	United States	Social distancing measures encouraged, large gathering are discouraged	Encourage employees to work from home and flex-hours if possible	Federal law generally does not require employers to provide paid leave to employees who are absent from work because they are sick (under the pre-existing Family and Medical Leave Act (FMLA) eligible employees of covered employers can take up to 12 weeks of unpaid, job-protected leave), but the new "Families First Coronavirus Response Act" provides for 2 weeks of paid sick leave to workers in firms with more than 50 and less than 500 employees.		There is no federal law covering non-government employees who take off from work to care for healthy children, and employers are not required by federal law to provide leave to employees caring for dependents who have been dismissed from school or child care. However, the Families First Coronavirus Response Act introduces additional paid sick leave for workers with children for up to 3 months. If an employee is covered and eligible under the FMLA and is needed to care for a spouse, daughter, son, or parent who has a serious health condition, then the employee is entitled to up to 12 weeks of job-protected, unpaid leave during any 12-month period. Some States may have similar family leave laws. In those situations, covered employers must comply with the federal or state provision that provides the greater benefit to their employees.	Additional resources have been devoted to providing food for households with low income. Money was also targeted to support the expected increase of unemployment insurance, which is administered by the states. The Families First Coronavirus Response Act also increases Medicaid payments to states.  Unemployment insurance payments increased to $600 per week as well as a direct payment of $1200 for each adult and $500 for children for all US residents with adjusted gross income up to $75,000 ($150,000 married). The extra $600 payment will last for up to four months. Self-employed people will be newly eligible for unemployment benefits. Max duration for unempl. benefits has been extended to 9 months, including for people already receiving it.	The CARES Act include provisions to increase the use of short-time compensation (STC). In particular, the federal government will pay 100% of the disbursements for STC for the 26 states that already have the programs implemented. For the rest, they will pay 50% if states decide to add a new STC programs. 	The Small Business Administration has been instructed to use emergency power to provide capital and liquidity to firms affected by coronavirus. The Treasury will defer tax payments without interest or penalties with the aim of shoring up liquidity. The Administration are requesting Congress to provide payroll tax relief. The Senate approved funding of $500 billion to support businesses as well as cities and states that have been hard hit by the coronavirus and $350 billion to support lending to small businesses.   		Temporary suspension of foreclosures and evictions  Emergency housing solutions for homeless people (e.g. hotels, motels, trailers) in some jurisdictions   	https://www.usa.gov/coronavirus; https://www.dol.gov/agencies/whd/flsa/pandemic; https://www.dol.gov/agencies/whd/fmla/pandemic
ARG		April 14, 2020		-33.166	-64.31	Argentina	Schools and universities are closed, large gatherings are banned, boarders are closed. Strict confinement has been announced. Citizens shall refrain from attending their places of work and shall not be allowed to circulate on routes, roads and public spaces. Only minimal and essential travel will be allowed for the provision of cleaning supplies, medicines and food. Confinement extended until 26 April.	People aged 60 and above are dispensed from going to work and employers must continue to pay their salaries, with no public financial support. Telework licenses for private and public sectors. Telework is recommended when possible. Workers affected by "preventive and compulsory social isolation" should not be allowed to go to their place of work. 	The government is considering raising conditional cash transfers to poor families. 		An extraordinary payment of the Universal Child Allowance (AUH) and maternity allowance equivalent to the amount of a monthly benefit (3,103 Argentinian pesos) will be implemented. The Emergency family Income (Ingreso Familiar de Emergencia) A lump sum payment of $10,000 (US$155) provided for the month of April to circa 3.6 M families.	Rise of cash transfers to poor families.   Food vouchers made more generous, they also can be provided in cash to families who have not yet received them. 	The Productive Recovery Programme (REPRO) will be extended to guarantee employment for those working in companies affected by the health emergency which means that the State will  pay part of the wages of the workers concerned. A total of 350,000 million Argentinian pesos will be used to ensure the production and supply of food and basic inputs, boost activity and finance the functioning of the economy at this juncture. Necessary overtime will have a 95% reduction in the rate of taxation.  The salaries of  workers hired for the necessities of the crisis period will have a 95% reduction in the tax rate.	The payment of employer contributions will be exempted for sectors critically affected by the coronavirus pandemic. This includes for example companies engaged in entertainment activities (cinemas, theatres, restaurants, etc.), tourism, passenger transport and hotels. But it may also reach companies facing logistical or input supply difficulties that affect their production processes.		Mortgage credit payments frozen until September.  Temporary suspension of evictions, freezing of rent levels, extension of existing rental contracts (through 30 September 2020)  Temporary suspension of foreclosures  Utilities (water, gas, electricity) cannot be shut off due to missed payments 	https://www.argentina.gob.ar/salud/coronavirus-COVID-19  https://www.argentina.gob.ar/coronavirus/medidas-gobierno
